order,seasonal_order,aic,bic,konvergerte
"(0, 1, 1)","(1, 1, 0, 5)",2635.975022297097,2652.3910409407868,True
"(2, 0, 1)","(0, 0, 0, 5)",2642.824082182398,2662.791339195135,True
"(0, 1, 0)","(1, 1, 0, 5)",2645.122039900428,2658.25485481538,True
"(2, 0, 0)","(0, 0, 0, 5)",2646.083210483758,2662.722591327706,True
"(2, 1, 2)","(0, 1, 0, 5)",2648.0226009859025,2671.075734758974,False
"(1, 0, 1)","(0, 0, 0, 5)",2653.6965120794484,2670.3358929233964,True
"(2, 0, 2)","(0, 1, 0, 5)",2654.378541961224,2677.4667635270603,False
"(2, 0, 1)","(0, 1, 0, 5)",2654.7380964867934,2674.557925935148,False
"(1, 0, 2)","(0, 1, 0, 5)",2660.2389366058974,2680.0288408051856,False
"(2, 1, 1)","(0, 0, 0, 5)",2664.416272046863,2684.3543319216933,False
"(0, 1, 1)","(0, 0, 0, 5)",2666.3948665454936,2679.6869064620473,True
"(2, 1, 0)","(0, 0, 0, 5)",2666.996085261909,2683.611135157601,True
"(1, 1, 1)","(0, 0, 0, 5)",2667.590370639319,2684.2054205350114,True
"(1, 0, 0)","(0, 0, 0, 5)",2673.345586791889,2686.6764619649507,True
"(2, 0, 0)","(0, 1, 0, 5)",2674.8809577172265,2691.397482257522,True
"(1, 1, 0)","(0, 0, 0, 5)",2677.664097017644,2690.9756016928022,True
"(0, 0, 1)","(1, 0, 1, 5)",2678.202702275965,2698.0225317243194,False
"(0, 0, 1)","(0, 0, 1, 5)",2678.4817820386097,2694.998306578905,True
"(0, 1, 0)","(0, 0, 0, 5)",2679.750342234357,2689.733970740726,True
"(0, 0, 2)","(0, 1, 0, 5)",2681.7029203562324,2698.1945071889727,True
"(1, 1, 2)","(0, 1, 0, 5)",2686.352461599902,2706.1122905482493,True
"(0, 1, 2)","(0, 1, 0, 5)",2686.528823982705,2702.9953481063276,True
"(0, 0, 1)","(1, 1, 0, 5)",2701.5592478571734,2718.000583010646,False
"(0, 0, 1)","(1, 0, 0, 5)",2703.0176817209026,2719.5837116161115,True
"(1, 0, 1)","(0, 1, 0, 5)",2705.571109706284,2722.0876342465795,True
"(2, 1, 1)","(0, 1, 0, 5)",2711.6975211723893,2731.4874253716775,False
"(2, 1, 0)","(0, 1, 0, 5)",2721.928937189036,2738.420524021776,True
"(1, 1, 1)","(0, 1, 0, 5)",2724.7361248446996,2741.22771167744,True
"(0, 1, 1)","(0, 1, 0, 5)",2726.284950192943,2739.4782196591354,True
"(1, 1, 0)","(0, 1, 0, 5)",2732.9176693564386,2746.130888988675,True
"(0, 0, 1)","(0, 0, 0, 5)",2737.5964845863446,2750.9079892615027,True
"(1, 0, 0)","(0, 1, 0, 5)",2740.103904569601,2753.336975359206,True
"(0, 1, 0)","(0, 1, 0, 5)",2751.3673921865943,2761.2773069107716,True
"(0, 0, 0)","(0, 1, 1, 5)",2761.704601761122,2774.837416676074,False
"(0, 0, 1)","(0, 1, 0, 5)",2768.1015328897374,2781.314752521974,True
"(0, 0, 0)","(1, 1, 1, 5)",2770.011129237656,2786.4271478813457,True
"(0, 0, 0)","(0, 0, 1, 5)",2820.189294479801,2833.422365269406,True
"(0, 0, 0)","(1, 0, 1, 5)",2821.8295714430624,2838.3709099300686,True
"(0, 0, 0)","(1, 1, 0, 5)",2826.74554201276,2839.898610135538,True
"(0, 0, 0)","(1, 0, 0, 5)",2831.15755457291,2844.410378489077,True
"(0, 0, 0)","(0, 0, 0, 5)",2883.335198980217,2893.333355360013,True
"(0, 0, 0)","(0, 1, 0, 5)",2900.026131717319,2909.9509348095226,True
